x,y
3342,0.003132192
3346,0.003059798
3350,0.003090136
3354,0.003251174
3358,0.003405479
3362,0.003434174
3366,0.003271239
3370,0.002615708
3374,0.00264779
3378,0.002780108
3382,0.002822234
3386,0.003048503
3390,0.0031733
3394,0.002859601
3398,0.003028023
3402,0.003188043
3406,0.003464426
3410,0.003211879
3414,0.003137283
3418,0.003462945
3422,0.003575641
3426,0.003831691
3430,0.003987566
3434,0.003984976
3438,0.00418331
3442,0.004511779
3446,0.004497669
3450,0.004500912
3454,0.005038523
3458,0.004842648
3462,0.0049935
3466,0.005092724
3470,0.004977161
3474,0.004858689
3478,0.004577374
3482,0.004268389
3486,0.003959913
3490,0.004102426
3494,0.004704568
3498,0.004717269
3502,0.004800484
3506,0.004822784
3510,0.004560736
3514,0.00454577
3518,0.004663381
3522,0.004644981
3526,0.004404071
3530,0.004187991
3534,0.00412602
3538,0.0041979
3542,0.004010986
3546,0.004018093
3550,0.004139941
3554,0.004260219
3558,0.00436053
3562,0.00415973
3566,0.004077372
3570,0.004023383
3574,0.003712899
3578,0.002943186
3582,0.002564551
3586,0.001831259
3590,0.001294924
3594,0.001512927
3598,0.00240607
3602,0.003726865
3606,0.005592424
3610,0.008177034
3614,0.01062027
3618,0.013341805
3622,0.015666854
3626,0.017644461
3630,0.019516556
3634,0.021260187
3638,0.022571299
3642,0.023397854
3646,0.024045056
3650,0.024615279
3654,0.024674118
3658,0.024534637
3662,0.023883697
3666,0.022996356
3670,0.021807087
3674,0.020340902
3678,0.018592562
3682,0.016581655
3686,0.014233971
3690,0.011767518
3694,0.009276525
3698,0.006674651
3702,0.004289525
3706,0.002681679
3710,0.001650625
3714,0.001091987
3718,0.001030766
3722,0.001166309
3726,0.001699079
3730,0.002471366
3734,0.002667068
3738,0.002585698
3742,0.002403243
3746,0.002534675
3750,0.002499451
3754,0.002550523
3758,0.002529107
3762,0.002297416
3766,0.002356057
3770,0.002307896
3774,0.002091399
3778,0.002189081
3782,0.002281349
3786,0.002486938
3790,0.002872752
3794,0.003065631
3798,0.003038289
3802,0.002869265
3806,0.002687948
3810,0.002632219
3814,0.002358988
3818,0.002446497
3822,0.002535171
3826,0.002459894
3830,0.002565753
3834,0.002617761
3838,0.002564055
3842,0.002649915
3846,0.003171895
3850,0.003230471
3854,0.00334285
3858,0.003530199
3862,0.003637966
3866,0.003978163
3870,0.003994015
3874,0.004356063
3878,0.004165421
3882,0.004119725
3886,0.004224395
3890,0.004506295
3894,0.004857299
3898,0.005098793
3902,0.005309273
3906,0.005496757
3910,0.005657194
3914,0.005799247
3918,0.005922916
3922,0.0060282
3926,0.006115099
3930,0.006183614
3934,0.006233745
3938,0.006265491
3942,0.006278853
3946,0.00627383
3950,0.006250422
3954,0.00620863
3958,0.006148454
3962,0.006069893
3966,0.005972948
